107	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
108	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
109	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
110	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
111	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
112	STG.FORMAT_FILE_DEL_PIPE_CARET	2020-09-29 13:04:13.120000000
113	STG.FORMAT_FILE_DEL_PIPE_CARET	2020-09-29 13:04:13.120000000
114	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
115	STG.FORMAT_FILE_DEL_PIPE	2020-09-29 13:04:13.120000000
116	STG.FORMAT_FILE_DEL_PIPE	2020-12-11 14:34:56.660000000
117	STG.FORMAT_FILE_DEL_PIPE	2020-12-11 14:35:12.868000000
